LANGUAGE,							"English", 				"Russian",						"German"
STR_rhs_cargosystem_rideON,			"Mount the vehicle",	"Залезть на броню",				"Auf Fahrzeug steigen"
STR_rhs_cargosystem_rideOUT,		"Jump down",			"Спрыгнуть",					"Abspringen"
STR_rhs_cargosystem_modul,			"RHS External Mount",	"RHS Включить езду на броне",	"RHS Externes Aufsitzen"
STR_rhs_cargosystem_allrideout,		"Dismount all",			"Все, слезть с брони",			"Alle absteigen"
STR_rhs_cargosystem_knock,			"Knock at the armor",	"Постучать по броне",			"Anklöpfen"
STR_rhs_cargosystem_BTR_82a_Mount,	"Mount BTR-82A",		"На БТР-82А",					"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BTR_80_Mount,	"Mount BTR-80",			"На БТР-80",					"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BTR_70_Mount,	"Mount BTR-70",			"На БТР-70",					"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BTR_60_Mount,	"Mount BTR-60",			"На БТР-60",					"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BRDM2_Mount,	"Mount BRDM2",			"На БРДМ2",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BMP2_Mount,		"Mount BMP",			"На БМП",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_BMD2_Mount,		"Mount BMD",			"На БМД",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_T72_Mount,		"Mount T-72",			"На Т-72",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_T55_Mount,		"Mount T-55",			"На Т-55",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_T90_Mount,		"Mount T-90",			"На Т-90",						"Auf Fahrzeug steigen"
STR_rhs_cargosystem_getoffeff,		"You are still alive.",	"Вы ещё живы...",				"Sie sind noch am leben..."
STR_rhs_cargosystem_geton_errNil,	"Slippery, it is impossible to climb. Restart the mission. (Fobject IsNIL)",	"Скользко, не получается залезть. Перезапустите миссию. (Fobject IsNIL)",	"Es ist schlüpfrig kans nicht aufsteigen. Starten sie die Mission neu. (Fobject IsNIL)"
STR_rhs_cargosystem_geton_errLoc,	"You don't have enough strength. Try to reconnect. (AttachTo locality bug)",			"Силёнок не хватает. Попробуйте перезайти. (AttachTo locality bug)",		"Hast du keine kraft, reconnecting in mission erneut (AttachTo locality bug)"
STR_rhs_cargosystem_geton_warFul,	"There's no more place on the armor.",										"На броне больше нет места",												"Keiner platz mehr."
STR_rhs_cargosystem_geton_warTur,	"The turret must be locked! Ask the driver to pop out of the hatch.",				"Башню необходимо заблокировать! Попросите водителя высунуться из люка.",	"Tower muss gesperrt werden! Bitten Sie den Fahrer rauskuken aus der Luke."
STR_rhs_cargosystem_knock_knocking,	"%1 knocking at the armor. He probably wants you looked out...",				"%1 стучит по броне. Вероятно он хочет чтобы вы высунулись...",				"%1 klopfte auf ihren Panzer, wahrscheinlich wil er dass sie rauskuken..."
STR_rhs_cargosystem_knock_knocked,	"You knock at the armor. The crew should notice it.",							"Вы постучали по броне. Экипаж должен это заметить.",						"Sie haben geklopft. Die Besatzung sollte bemerkt."
STR_rhs_cargosystem_knock_1knocked,	"%1 knocked at the armor.",														"%1 постучал по броне.",													"%1 klöpfte..."
STR_rhs_cargosystem_knock_CBA,	"CBA is not running! This feature is designed for players using ACRE radio addon.",	"СВА не запущен! Данная фича сделана для использующих аддон рации ACRE.",	"CBA nicht ausgeführt! Diese Funktion wird für das Addon ACRE Radio verwendet"
